n,bayes_pA_q95_width,boot_pA_q95_width,bayes_pB_q95_width,boot_pB_q95_width,bayes_pExhaust_q95_width,boot_pExhaust_q95_width,bayes_capture_pA_q95,bayes_capture_pB_q95,bayes_capture_pExhaust_q95,boot_capture_pA_q95,boot_capture_pB_q95,boot_capture_pExhaust_q95
10,0.4294403967803356,0.5,0.2692467418982373,0,0.4650884114400766,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
10,0.43752921687719126,0.30000000000000004,0.37344756815364133,0.3,0.26647375603030776,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.5192704908101167,0.6000000000000001,0.38150377774192146,0.3,0.4770630315944876,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4219926245776222,0.5,0.4385394164581196,0.5,0.4918972755452029,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4800470842900117,0.6,0.47407331664659436,0.6,0.2589848303694506,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.504505238861735,0.6000000000000001,0.4228998602381271,0.5,0.4962994580149374,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.46820424205415556,0.6,0.41782714191659936,0.5,0.5047436312118945,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.34856506545870014,0.3,0.4031037122595714,0.30000000000000004,0.2567146656000085,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.48409048770746665,0.6,0.2614117140230311,0,0.5110537941054722,0.6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
10,0.4204389978809055,0.5,0.5025791924566894,0.6,0.47956222778196017,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.2456045767827433,0,0.5279117648718006,0.6000000000000001,0.503427040569593,0.6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.27185261601550015,0,0.25473897314229954,0,0.36131704322743985,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,0.24726895247976832,0,0.3783755185415185,0,0.26993596265684316,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,0.4399887844043256,0.5,0.5066066554694186,0.6,0.49893877046302454,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.47273844689834604,0.6,0.465602857488986,0.6,0.5065159989779616,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.47716539140145564,0.5,0.2514742643453352,0,0.4614503937345604,0.5,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
10,0.5094563381437636,0.6000000000000001,0.4900619699972508,0.6,0.2627923085303349,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.5006517172031255,0.6,0.5399304357192827,0.6000000000000001,0.4333152866890914,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5061943492627005,0.6000000000000001,0.36463261143368764,0.3,0.493318675641094,0.6,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
10,0.520270065531927,0.6000000000000001,0.47198585513524416,0.5024999999999998,0.42490280490925075,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5247942207218945,0.6000000000000001,0.483953316828675,0.6,0.24144288712440018,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.49582446818170245,0.6000000000000001,0.45014606591401984,0.6,0.35928842051897403,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.38656962733726674,0.3,0.46308266005096044,0.5,0.5145896028846355,0.6000000000000001,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
10,0.5261023254411331,0.6000000000000001,0.26971894898708804,0,0.5017341394240195,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
10,0.4987591094133912,0.6000000000000001,0.49868280759007094,0.6000000000000001,0.26371795495032674,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.502229901997485,0.6,0.2611186789223384,0,0.5311772100519838,0.6000000000000001,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
10,0.3475176059948337,0.3,0.2534807255148897,0,0.4140854603650266,0.30000000000000004,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
10,0.47625445032510727,0.6,0.352835053706015,0.3,0.5169393653115468,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.34309148902174275,0.3,0.2513231098397368,0,0.4148434279663449,0.30000000000000004,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
10,0.4159936434513882,0.5,0.518568808097031,0.6000000000000001,0.47319530702521456,0.5024999999999998,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.361966310035088,0.3,0.4869064061547949,0.6000000000000001,0.5079450251820644,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.43371547487097595,0.5,0.2731750963325634,0,0.4700971110569562,0.5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
10,0.23910592001916955,0,0.4347826746331952,0.5,0.4580847881764827,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.4778360132589411,0.5024999999999998,0.44126126198061394,0.5,0.5123854628589661,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4649701812399301,0.6,0.4974284479559278,0.6,0.25732538581555003,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.23579052237536513,0,0.5147305967040356,0.6,0.5085612824410405,0.6000000000000001,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.46706223757233245,0.5,0.5023745490262715,0.6000000000000001,0.37851520438499425,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.2652693363602045,0,0.48354624009241504,0.5,0.42364906470439206,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.337488336977159,0.3,0.5190373459848261,0.6000000000000001,0.49088796115890887,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4286199051636485,0.5,0.46110717600498685,0.5,0.25901418910339563,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.23822168706370286,0,0.4691246172004948,0.6,0.4504546960995549,0.6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.4188711031623721,0.5,0.48355204123652595,0.6,0.489485444702471,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4849703092748355,0.6,0.45179199233484113,0.5,0.4998470307061412,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5124080614689308,0.6000000000000001,0.460943577442714,0.6,0.35078829228123914,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.36593830654088505,0.3,0.5391132215351605,0.6000000000000001,0.4952881907507417,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.2638948159453167,0,0.5008124772651936,0.5,0.4690513645978922,0.5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.2824891563138477,0,0.5004915586369842,0.6,0.48449208076652517,0.6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.44528106275799223,0.5,0.4806681559218721,0.5,0.5144783909026085,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4221374088264823,0.30000000000000004,0.2584665447853211,0,0.35812000804079697,0.3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
10,0.4693817619775112,0.5,0.4492975146198409,0.5,0.5059531952920802,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.47934562047858265,0.6,0.38192131165756166,0.3,0.5020115375625,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.2528009721132465,0,0.4407648886039204,0.30000000000000004,0.37044969391835303,0.3,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
